code,parent_code,like_count,username,text,created_at
C65RuPBuov5,,38,ashley_winnn,Muscle Mommy 🪽,1715586331.810191
C62a9tUMv4c,C6mKlDbP0cJ,37,iamclaudz,🤭🩶,1715586331.810203
C64jEY7vlh2,C6mKlDbP0cJ,11,ferrelletheking_,Happy Mother’s Day 🤍,1715586331.8102064
C64wqlTNNCX,C6mKlDbP0cJ,36,plainjanechula,Fine china.,1715586331.8102095
C6lci06PWMj,,18,upscintent,India's Presence in the Indian Ocean,1715586334.539229
C6k4ReAss4u,,154,marathi_status,,1715586336.777733
C65oyO1pbHO,,2,apni.hindi_official,पंक्तियां @neeraj.jain6,1715586339.8983724
C65nBXerH7L,C6lBFpap4Pk,214,motivationalcircle21,"That bhaichara between Virat kohli and
Ishant sharma❤️🥺

Two Delhi boys🔥😍❤️",1715586339.8983834
C65kY8zhLYE,C6lBFpap4Pk,28,_manju_thakur_086,,1715586339.8983881
C65mUzyr8ou,C6lBFpap4Pk,58,motivationalcircle21,He was Enjoying.😹😸🤝,1715586339.898391
C6koA7jJINy,,26,tanisha.__.12,,1715586342.5314386
C65nUhQPVXb,,3,abdevirat.era,Laugh on those who say kohli can't hit six!🤣,1715586345.5009966
C65pdDKpnw-,C6l8oxnoesX,1,gulzar_shayari__,🥺🤌,1715586345.5010083
C65nBXerH7L,C6l8oxnoesX,214,motivationalcircle21,"That bhaichara between Virat kohli and
Ishant sharma❤️🥺

Two Delhi boys🔥😍❤️",1715586345.5010123
C65on3Tv03u,C6l8oxnoesX,1,circleofcricket,"#SouravGanguly took off his cap while congratulating #ViratKohli for RCB's win over Delhi Capitals.

IPL2024",1715586345.501018
C65mnq-SeGc,C6l8oxnoesX,57,viratfan.avinash,Just two Delhi Boys Friendship - Virat Kohli and Ishant Sharma 🤌😂,1715586345.5010226
C6khHNip5xM,,500,sonal_mathur2008,“It is never too late to be what you might have been.”,1715586350.1111898
C6krv9NJkwG,C6khHNip5xM,0,sk_shandilya87,Itne muscle bna k kya hoga,1715586350.1112015
C6lMzaWSGlL,C6khHNip5xM,0,official_pandey422,",😍😘💓👍🏼",1715586350.1112049
C6lBmr9xWGz,C6khHNip5xM,0,mohammad_nawaz_hr16,Do Dil mil rahe hai,1715586350.1112082
C6rQA2Xy2bK,C6khHNip5xM,0,loinhartnil5930,Love you 🥰,1715586350.111211
C6mBPZJJYua,C6khHNip5xM,0,jatinsoni450,👌👌👌😍😍😍 superb,1715586350.1112137
C6lY3bSvEnZ,C6khHNip5xM,0,iamyadavakhil,😈😈,1715586350.1112165
C6mY0l4R0q-,C6khHNip5xM,0,jaanuali801,💪👍,1715586350.1112192
C6kic2WSvpk,C6khHNip5xM,0,prince_my_fitness,Super 👍,1715586350.1112218
C6lIUL-PhaU,C6khHNip5xM,0,gowtham_gfg,🙃,1715586350.1112242
C6kwzcKpOJ_,C6khHNip5xM,0,sandeepnath_lingampally,Super👌,1715586350.111226
C6lIoOfPh-r,C6khHNip5xM,0,jatinacharyaofficial,❤️,1715586350.1112285
C6kpw-orOXQ,,25,km_sonam,Good morning 🌞,1715586353.4038508
C6kqA4WvSpg,C6kpw-orOXQ,1,vikashtripathi934,Gm,1715586353.4038618
C6p89uvrw7w,C6kpw-orOXQ,0,muskan_mewati_4010,Hi,1715586353.403865
C6kqwanICZp,C6kpw-orOXQ,1,khattakmominkhan,Nice 👍,1715586353.4038672
C6k1fHILSQK,C6kpw-orOXQ,0,love_but_u_,Vry good morning sonam ji,1715586353.4038696
C6kr2StoLDK,C6kpw-orOXQ,1,bhaveshboza,,1715586353.403872
C65ngpdMKNb,,3,foodiechori_,"Natraj pencil used to give a gareebo wali feeling. And not so surprised this pencil was indeed made for gareebs because the nib used to always break , that red colour of it looked like a sarkari bus and the sharpener of it was like the kuposhit breed of all the sharpeners ever existed, It was so little.

Now I wonder why the stationary guy handed me natraj pencil always.",1715586356.1636992
C63rdg1PZCm,C6l14FUv-rl,23,anish.ka99,#𝙼𝚢𝚠𝚛𝚒𝚝𝚎,1715586356.163712
C65nv7bS_2B,C6l14FUv-rl,2,avi0001998,it's very easy to idealize the best pieces of a past relationship when you're not in it anymore. I think this is why many go back to someone instead of moving forward. sometimes it's easier to remember the good parts and forget all of the reasons for breaking up.🙂,1715586356.1637156
C65lr4myheb,C6l14FUv-rl,6,neelam_jangid435,Ryt na ....,1715586356.1637216
C60naoTrT1Q,C6l14FUv-rl,58,sanna_singh.81,Good afternoon friend’s,1715586356.163724
C65onPRyaDM,,4,marketingmotivationn,"Eighty-five per cent of about 12,000 freshers set to join the SBI in FY25 are engineering graduates, its chairman has said.",1715586358.6511562
C65nzu2vQdf,C6kxkDSvcx8,2,timesnow,"Janhvi Kapoor Brings Method Dressing To Bollywood With Mr And Mrs Mahi Promo Looks

#JanhviKapoor",1715586358.651168
C65R6VYLRXx,C6kxkDSvcx8,23,englishbookclub1,Good morning 🌞,1715586358.6511722
C64FnDRM8c9,C6kxkDSvcx8,77,the.successpreneur,What do you guys regret the most ? 🤔,1715586358.651176
C61gFFRiifp,C6kxkDSvcx8,20,inspiring.insight,"Strive to become the best version of yourself, so that no one can ignore you.",1715586358.6511803
C65pdAjS49j,,8,priya_singh_5960,"Hii
I need bf 
Please 🥺",1715586361.747553
C65mfOFy7_n,C6kyLGRvZ5b,154,nisha_thakur__07_,Hyy🌷🌷,1715586361.747564
C65nhjbJBM5,C6kyLGRvZ5b,251,ishika_ishika_07,"Hiiii
@saara_nili_",1715586361.7475672
C65kU6rPJTH,C6kyLGRvZ5b,99,nidhi.pawar03,"Hello 👋🤗
Koi mera BF banega 😘💐🌷
I love you 💓
Jo Login krke screenshot dega usi ko hi reply milega 6204476545👇
https://www.sgzlucky.com/#/pages/register/register?id=t3aqu8",1715586361.7475696
C65meMNSJZF,C6kyLGRvZ5b,108,nisha_thakur__07_,Hyy🌷🌷,1715586361.7475748
C63hZ69vC57,,124,ridhimapathak,"I'm free to be the greatest, I'm alive
I'm free to be the greatest here tonight, the greatest

🙌💯💪",1715586364.9744883
C65phlSPrTk,C6mAZrSCkhX,0,circleofcricket,"Kumar Sangakkara and Michael Hussey expectedly shared contrasting views on #RavindraJadeja's controversial 'obstructing the field' dismissal.

IPL2024",1715586364.974499
C65oLDhi-za,C6mAZrSCkhX,5,femalecricket,Bangladesh skipper is excited to host the upcoming Women's T20 World Cup,1715586364.9745038
C606GMdxbaR,C6mAZrSCkhX,380,nehwalsaina,Good evening 🤩🙏,1715586364.9745069
C65nBXerH7L,C6mAZrSCkhX,219,motivationalcircle21,"That bhaichara between Virat kohli and
Ishant sharma❤️🥺

Two Delhi boys🔥😍❤️",1715586364.9745095
C62bgQSJJQx,,356,kamal_kaur_333,Dhan dhan sir guru gobind Singh ji ❤️🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🤲🏻🙏🙏🙏🙏🙏🙏🏻🙏🏻,1715586367.7557118
C65OBrTIDzr,C6kgHfRJO2D,6781,ahmedmostafa00000000,how precious is this🥺,1715586367.755727
C62Y7LahHfN,C6kgHfRJO2D,8,adab_jatti_status_57,"SPACIAL MOTHER'S DAY 🌎❤️ 

#newpost #trending #trendingnow #trendingpost #trendingquotes #qoutesinstagram #qoutesdaily #qoutes #viral #like",1715586367.7557325
C61JsZPpEZ9,C6kgHfRJO2D,92,geetinder1313,,1715586367.7557406
C61_nStSJlz,C6kgHfRJO2D,94,sridarbarsahib,,1715586367.755745
C65pS4SPP0J,,1,chandaliyarb,Agree👍👍,1715586370.3106415
C65oNtqv7xA,C6l6hv-tWWs,4,dabhibhupatsinh01,Good noon all friend😊,1715586370.3106513
C65pdDKpnw-,C6l6hv-tWWs,1,gulzar_shayari__,🥺🤌,1715586370.310655
C65oHwwPpX9,C6l6hv-tWWs,2,dabhibhupatsinh01,Ryt friend,1715586370.3106575
C65hMWDJ3qW,,162,i_am_punam_malhotra555,Hiii....,1715586374.0482702
C65n36RPjRF,C6l7IkTpmHz,27,little_one_1981,🤣🤣🤣🤣,1715586374.048279
C65nIDQp2T7,C6l7IkTpmHz,8,prashant_pooja,🙏🙏🙏🙏🙏🙌🙌🙌🙌,1715586374.048283
C65BJRySSyv,C6l7IkTpmHz,52,deepmala471,Good morning 🌹🌹,1715586374.048286
C65SRz8JZXg,,114,anjoos279,Good Morning,1715586377.3131318
C65PHDuJdL4,C6lk7j0swTX,164,anchuanandharaj,,1715586377.313142
C61fpsbulQS,C6lk7j0swTX,309,indian.mom.in.mexico,Happy weekend,1715586377.3131456
C64QEFCszlh,C6lk7j0swTX,139,sheeb_zzzz,❤️❤️❤️,1715586377.3131483
C604FK9MIIW,C6lk7j0swTX,696,m4manjuszzz,Those eyes hold stories waiting to be told. ...❤️🍂,1715586377.3131511
C6k3g8mIt62,,23,dbtvsports,Imad Wasim wants to win the T20 World Cup 2024 for Pakistan.,1715586380.1626632
C6k42UvM45S,C6k3g8mIt62,0,captainaditya_0015,Pehle Babar Azam ko to chord bhai uska dum ghut rha hoga,1715586380.1626728
C65l_QnM00q,,6,swlikhit____,Marathi Quotes,1715586382.9085095
C65k4L8N-nA,C6lCWbcMO7_,17,tarknews1,डेल स्टेन,1715586382.90852
C6207T0xJtm,C6lCWbcMO7_,81,official_gautami941111_,Jela bolaycha teni msg kara👍,1715586382.9085245
C65jEvBSYWJ,C6lCWbcMO7_,36,mrtaufik005,,1715586382.908528
C65mYQftWmp,C6lCWbcMO7_,1,loksattalive,"हीच खरी माणुसकी! भटक्या गायींना स्वतःच्या हाताने भरवली पोळी; VIDEO पाहून युजर्स म्हणाले, “तू कलियुगातला देव”

https://www.loksatta.com/trending/viral-video-this-is-true-humanity-man-filled-the-hive-with-his-own-hands-for-the-stray-cows-after-watching-the-video-users-said-you-are-the-god-sap-20-4369614/",1715586382.9085307
C6lvtRmvq8i,,130,pbn.rajput,"In a world full of sheeps🐑, be a lion🦁",1715586386.2667854
C60bfR5LA7d,C6lvtRmvq8i,1,rkmehra_93,Wow sir body bhut mast aa,1715586386.266797
C60-QvPvyAh,C6lvtRmvq8i,0,pbn.rajput,Thx,1715586386.2668006
C6pxjq_rEal,C6lvtRmvq8i,0,jimmy_this_side,Where,1715586386.2668035
C6qtDafvALO,C6lvtRmvq8i,0,pbn.rajput,Manali,1715586386.2668056
C6poQPco-US,C6lvtRmvq8i,1,chipluny3,🔥🔥🔥❤️❤️❤️ impressive muscular curvy chest hunk,1715586386.2668083
